step,traffic_pattern,injection_rate,network_load,throughput,avg_latency,network_latency,unstable,congestion_score,hotspot_detected
123,transpose,0.012256,0.216797,0.193109,136.73,123.85,1,0.4868211547051887,1
124,transpose,0.011956,0.214078,0.189047,119.83,112.22,1,0.47072962544665964,1
125,transpose,0.011892,0.213422,0.188953,121.59,113.95,1,0.47159278574638797,1
126,transpose,0.012211,0.218312,0.190922,139.32,126.63,1,0.5057244254556401,1
127,transpose,0.011964,0.214078,0.189047,119.83,112.22,1,0.47072962544665964,1
128,transpose,0.012049,0.215,0.191406,120.99,113.65,1,0.46475852860205824,1
129,transpose,0.014956,0.2375,0.203797,163.05,140.67,1,0.5451165358192317,1
130,transpose,0.015211,0.245531,0.210703,162.95,140.84,1,0.5395810160386525,1
131,transpose,0.015113,0.244984,0.212609,155.16,135.59,1,0.5183823275204871,1
132,transpose,0.01507,0.243438,0.209625,159.94,139.97,1,0.533446024019202,1
133,transpose,0.01505,0.238469,0.2035,164.21,141.01,1,0.5509837534655133,1
134,transpose,0.01493,0.23775,0.204187,163.41,140.42,1,0.5447527777922603,1
135,transpose,0.018247,0.264062,0.226469,181.86,148.94,1,0.556381005751226,1
136,transpose,0.017777,0.258375,0.221531,184.43,154.34,1,0.5642697156345756,1
137,transpose,0.017749,0.258375,0.221531,184.43,154.34,1,0.5642697156345756,1
138,transpose,0.017803,0.260719,0.222938,183.57,153.62,1,0.563782451325953,1
139,transpose,0.017948,0.261844,0.224344,184.05,147.03,1,0.5620285267446096,1
140,transpose,0.018047,0.262328,0.225297,180.53,150.18,1,0.5542915148476192,1
141,shuffle,0.000969,0.015125,0.014687,40.4,40.4,0,0.3132994597037926,0
142,shuffle,0.001264,0.02025,0.019688,40.32,40.32,0,0.30831170502851096,0
143,shuffle,0.000792,0.012625,0.0125,40.92,40.8,0,0.3001360737012219,0
144,shuffle,0.001287,0.020563,0.02,40.27,40.27,0,0.3076876006564828,0
145,shuffle,0.000859,0.013875,0.013437,40.16,40.16,0,0.316049730501443,0
146,shuffle,0.001099,0.018562,0.018125,40.34,40.34,0,0.3060957093968166,0
147,shuffle,0.0019,0.034,0.033438,43.37,43.16,0,0.2930622728212941,0
